ds,yhat,yhat_lower,yhat_upper
2011-01-01,103075.58614600022,-3371.501962569257,208592.95802390823
2011-02-01,96350.78496992757,-16860.339988069325,203022.88149071636
2011-03-01,105227.1785190708,-5720.985939292459,217753.89999505586
2011-04-01,109987.84734627453,5162.552992402461,222314.11940521857
2011-05-01,117801.78035139402,856.9658283559398,224512.96021958705
2011-06-01,115999.82181117013,107.04115524023321,223603.5205201761
2011-07-01,118560.59230777797,3575.678176614916,231066.8349609844
2011-08-01,108125.1291469062,676.2777585746823,219084.1810286463
2011-09-01,116525.15190093289,14077.658836698138,219585.82722730888
2011-10-01,122992.41965812683,22883.88199519563,232659.34413698054
2011-11-01,119372.26984334638,6633.873029721045,218008.18696822878
2011-12-01,113229.87622168755,-519.942984555767,218879.48159441003
2012-01-01,101916.92602813014,-13379.451489726174,217069.66133634697
2012-02-01,95349.10114616036,-12401.475102069317,209814.82919200909
2012-03-01,104450.39771779954,-8277.312328556072,212825.88565994852
2012-04-01,108401.6260348164,3488.5260926262436,213033.5766900865
2012-05-01,116585.76636999851,2991.824412674201,225530.30074276362
2012-06-01,115247.39811076001,1867.3941337145836,225069.98022248456
2012-07-01,118133.0162128919,8725.756225096475,228188.6580054181
2012-08-01,107264.04920507033,735.4689593277785,224299.16159805824
2012-09-01,115140.44424303592,707.0680720145233,224771.64802961232
2012-10-01,121404.21837002666,768.4123846621995,231616.63832490376
2012-11-01,117974.31533747754,7062.136289711596,225241.88189993202
2012-12-01,112347.94130531339,1310.106784474867,223980.2689022529
2013-01-01,101252.94261065248,-12949.27452422792,209853.10535534448
2013-02-01,94197.33598251092,-17842.291452666006,202857.81376395872
2013-03-01,103287.34545415234,-10968.258638383597,208742.91789596374
2013-04-01,107506.14907416953,2045.1142633423785,213886.14951917584
2013-05-01,115573.22370028187,11321.950418496586,224387.7306527939
2013-06-01,114074.6649805344,1504.4591012769213,219368.44621781938
2013-07-01,116847.651072051,4750.369621820357,218102.7113224772
2013-08-01,106111.72884786254,-3700.0236828758084,207643.33339265015
2013-09-01,114167.6315059214,7299.518310877794,222771.35122652864
2013-10-01,120507.8452939416,6111.167278578804,235047.3771173838
2013-11-01,117017.84257437472,5506.893829432065,226619.31397038585
2013-12-01,111218.7752065603,452.3837176514296,220052.38628270573
2014-01-01,100043.14061823518,-9673.84785304988,204062.22038260518
2014-02-01,93146.1197164828,-14116.063814207731,212122.82839182072
2014-03-01,102126.89756477767,-9089.406427899827,212941.8345698206
2014-04-01,106612.41456610014,-7315.419259936202,221345.40334311407
2014-05-01,114552.94896066262,14940.561133624282,223824.17187166683
2014-06-01,112896.58524574181,5381.316288265325,220181.22741232486
2014-07-01,115561.22221294479,8272.552846406672,227281.57781659262
2014-08-01,104969.88048541853,-1075.0260154825303,214596.78777088205
2014-09-01,113200.45175233691,15755.310073211293,227061.43070068792
2014-10-01,119608.51505054392,11454.614585216323,230030.68027812632
2014-11-01,116055.03246375467,13928.141839516025,226183.66208128753
2014-12-01,110083.84977309578,-4392.4909682490525,225378.78439783503
2015-01-01,98835.53545275965,2485.9939481721435,207835.76478803714
2015-02-01,92101.19939446478,-15294.305142532385,203638.59872906972
2015-03-01,100968.98079192406,-2864.5139252269423,207174.0408844186
2015-04-01,105720.11473690964,-2050.58135373129,213265.32860794436
